package,package_url,version,identity,identity_url,title,status,fmm,wg,date,realm,auth
sappatientmanagement.sap_ish_r4_gen,NA,R4,StructureDefinition/GenericInvoiceV2,/xig/resource/sappatientmanagement.sap_ish_r4_gen%7C2.0.5/StructureDefinition/GenericInvoiceV2,"Invoice, SAP Generic, Version2",active,NA,NA,NA,NA,NA
de.transfer-abrechnungsdaten.r4,NA,R4,StructureDefinition/invoice-de-art-abrechnung,/xig/resource/de.transfer-abrechnungsdaten.r4%7C1.1.2/StructureDefinition/invoice-de-art-abrechnung,Abrechnung,trial-use,0,fm,NA,NA,NA
de.gkvsv.eRezeptAbrechnungsdaten,NA,R4,StructureDefinition/GKVSV_PR_TA7_Rechnung,/xig/resource/de.gkvsv.eRezeptAbrechnungsdaten%7C1.0.0/StructureDefinition/GKVSV_PR_TA7_Rechnung,GKVSV_PR_TA7_Rechnung,active,NA,NA,NA,NA,NA
ndhm.in,https://nrces.in/ndhm/fhir/r4/6.5.0,R4,StructureDefinition/Invoice,/xig/resource/ndhm.in%7C6.5.0/StructureDefinition/Invoice,Invoice,draft,NA,NA,NA,in,national
de.gkvsv.erezeptabrechnungsdaten,NA,R4,StructureDefinition/GKVSV-PR-ERP-eAbrechnungsdaten,/xig/resource/de.gkvsv.erezeptabrechnungsdaten%7C1.4.2/StructureDefinition/GKVSV-PR-ERP-eAbrechnungsdaten,GKVSV_PR_ERP_eAbrechnungsdaten,active,NA,NA,NA,NA,NA
dk.ehealth.sundhed.fhir.ig.core,https://build.fhir.org/ig/fut-infrastructure/implementation-guide/,R4,StructureDefinition/ehealth-library,/xig/resource/dk.ehealth.sundhed.fhir.ig.core%7Ccurrent/StructureDefinition/ehealth-library,ehealth-library,active,NA,NA,NA,dk,NA
eng.fhir.profile.dev,NA,R4,StructureDefinition/Library-ForClinicalGuideline,/xig/resource/eng.fhir.profile.dev%7C0.0.7-beta/StructureDefinition/Library-ForClinicalGuideline,Library-ForClinicalGuideline,draft,NA,NA,NA,NA,hl7
de.medizininformatikinitiative.kerndatensatz.studie,NA,R4,StructureDefinition/mii-pr-studie-register,/xig/resource/de.medizininformatikinitiative.kerndatensatz.studie%7C2025.0.0/StructureDefinition/mii-pr-studie-register,MII PR Studie Register,active,NA,NA,NA,de,NA
hl7.fhir.uv.crmi,https://build.fhir.org/ig/HL7/crmi-ig/,R4,StructureDefinition/crmi-manifestlibrary,/xig/resource/hl7.fhir.uv.crmi%7Ccurrent/StructureDefinition/crmi-manifestlibrary,CRMI Manifest Library,trial-use,3,cds,NA,uv,hl7
hl7.fhir.uv.saner,https://build.fhir.org/ig/HL7/fhir-saner/,R4,StructureDefinition/PublicHealthMeasureLibrary,/xig/resource/hl7.fhir.uv.saner%7Ccurrent/StructureDefinition/PublicHealthMeasureLibrary,Public Health Measure Library,draft,NA,pher,NA,uv,hl7
hl7.fhir.uv.cmi,https://build.fhir.org/ig/HL7/Content-Management-Infrastructure-IG/,R4,StructureDefinition/cmi-versionmanifest,/xig/resource/hl7.fhir.uv.cmi%7Ccurrent/StructureDefinition/cmi-versionmanifest,CMI Version Manifest,active,NA,NA,NA,uv,hl7
hl7.fhir.uv.sdc,https://build.fhir.org/ig/HL7/sdc/,R4,StructureDefinition/sdc-library,/xig/resource/hl7.fhir.uv.sdc%7Ccurrent/StructureDefinition/sdc-library,SDC Library,trial-use,4,fhir,NA,uv,hl7
hl7.fhir.us.ecr,https://build.fhir.org/ig/HL7/case-reporting/,R4,StructureDefinition/us-ph-specification-library,/xig/resource/hl7.fhir.us.ecr%7Ccurrent/StructureDefinition/us-ph-specification-library,US Public Health Specification Library,active,NA,pher,NA,us,hl7
hl7.fhir.us.ecr,https://build.fhir.org/ig/HL7/case-reporting/,R4,StructureDefinition/us-ph-supplemental-library,/xig/resource/hl7.fhir.us.ecr%7Ccurrent/StructureDefinition/us-ph-supplemental-library,US Public Health Supplemental Library,active,NA,pher,NA,us,hl7
