"package_id","realm","fhir_version","name","country","category","description"
"hl7.fhir.us.mihr","US","4.0.1","Maternal and Infant Health Research","us","Medication / Immunization","This guide focuses on calculation of maternal-related cohorts from available maternal care information sources. It specifies how to calculate two maternal-related cohort measures and link to maternal longitudinal record with associated child record(s). Initial use cases focus on pregnancy and subsequent death within a specific time frame and hypertensive disorders of pregnancy pre, ante, and postpartum. The IG leverages MedMorph, SANER, US Core profiles, and broader public health IGs"
"hl7.fhir.us.identity-matching","US","4.0.1","Interoperable Digital Identity and Patient Matching","us","Privacy / Security","This FHIR implementation Guide provides guidance on leveraging Patient Matching and Digital Identity capabilities together to improve match quality and overall identity assurance in FHIR transactions. It defines methods to inform and execute cross organizational and internal patient matches via FHIR when requested for a permitted purpose or authorized by the Patient directly or by the Patient’s delegate. "
"fhir.cdc.opioid-mme-r4","US","4.0.1","CDC Opioid MME Calculator","us","Quality / CDS","This implementation guide provides Morphine Milligram Equivalent (MME) calculation logic as described by the Centers For Disease Control and Prevention (CDC) Guideline for Prescribing Opioids for Chronic Pain — United States, 2016"
"hl7.fhir.us.codex-radiation-therapy","US","4.0.1","CodeX™ Radiation Therapy","us","Care Management","The CodeX Radiation Therapy (RT) Implementation Guide (IG) describes how to represent and exchange radiation therapy treatment information. The CodeX RT IG enables radiation oncology information systems to generate treatment summaries that are retrievable by health systems, or other information systems, for display within the EHR interface to be used for care coordination and data reuse. "
"hl7.fhir.us.home-lab-report","US","4.0.1","At-Home In-Vitro Test Report","us","Clinical Documents","This Implementation Guide describes a framework for use for transmitting At-Home Point-of-Care lab test results to local, state, territorial and federal health agencies. This version also contains workflow description and profiles and vocabulary for transmitting Covid-At-Home tests."
"hl7.fhir.us.pacio-pfe","US","4.0.1","PACIO Personal Functioning and Engagement Implementation Guide","us","Patient Summary","The Personal Functioning and Engagement IG provides a framework for communicating the functioning of an individual, including their body functions and structure and their activities and participation in society, as well as related clinical care. The IG draws on the health and health-related domains defined within the International Classification of Functioning, Disability and Health (commonly known as ICF)."
"hl7.fhir.us.ph-library","US","4.0.1","US Public Health Profiles Library","us","Medication / Immunization","The US Public Health Profiles Library is a collection of reusable architecture and content profiles representing common public health concepts and patterns. It provides a framework for inclusion in multiple use case specific implementation guides focused on the exchange of Public Health information."
"hl7.fhir.us.directory-query","US","4.0.1","National Healthcare Query","us","Administration","Standard for endpoint query request and response for Validated National Directory federated access directories"
"hl7.fhir.us.directory-exchange","US","4.0.1","National Healthcare Directory Exchange","us","Administration","Standard for exchange of Health and Social Care Directory information between a Validated National Directory and a federated directory (primarily for workflow integration)."
"hl7.fhir.us.directory-attestation","US","4.0.1","National Healthcare Directory Attestation","us","Administration","Provides the methods and standards for the contribution, attestation, and validation of information in the National Directory.  This applies to individual demographics, organizational demographics, relationship between individuals and organizations, services provided, and electronic endpoint metadata."
"hl7.fhir.us.vitals","US","4.0.1","Vital Signs FHIR IG","us","Clinical Observations","US Realm Implementation Guide for Vital Signs observations with extensions for qualifying data."
"hl7.fhir.us.mcc","US","4.0.1","MCC eCare Plan Implementation Guide","us","Care Management","Provides representation of clinical and social data elements in the FHIR Care Plan format. Focuses on 4 common chronic conditions: 1) chronic kidney disease (CKD), 2) type 2 diabetes mellitus (T2DM), 3) cardiovascular diseases (specifically, hypertension, ischemic heart disease and heart failure), and 4) pain."
"hl7.fhir.us.hsds","US","4.0.1","FHIR IG Human Services Directory","us","Care Management","FHIR API-based data exchange enabling healthcare provider, community-based organization, payer, and consumer-facing application systems to search standardized directories of organizations providing human and social services, providing foundational support for downstream care planning and management use cases, including closed loop referrals, care coordination and care management activities, consumer-based search for assistance, etc. This guide is a US Realm specification."
"hl7.fhir.us.physical-activity","US","4.0.1","U.S. Physical Activity IG","us","Care Management","Defines U.S. interoperability expectations related to physical activity, including primary assessment, supporting measures, plans, goals, referrals and patient-engagement.  Supports interoperability between care managers (e.g. EHRs, community health systems, etc.), service providers (physical activity professionals including exercise physiologists, personal trainers, community fitness centers, etc.), as well as patient-facing applications."
"hl7.fhir.us.registry-protocols","US","4.0.1","Protocols for Clinical Registry Extraction and Data Submission (CREDS) IG","us","Clinical Registries","This guide profiles how a registry says what needs to be sent, and how a healthcare provider organization can use that to automate the collection and formatting the data into a submission, conforming to registry or FHIR implementation guide defined profiles and protocols."
"hl7.cda.us.ccda","US","5.0.0","CCDA: Consolidated CDA Release","us","Clinical Documents","C-CDA 3.0 merges the C-CDA R2.1 and the C-CDA Companion Guides, adds C-CDA enhancement requests, and incorporates new design and guidance for USCDI V4. The guide represents C-CDA templates using HL7 FHIR StructureDefinition. It is built upon the underlying CDA standard’s structures defined as Logical Models. These FHIR Logical models are abstract data structures which have been instantiated into physical CDA templates to be implemented in CDA data exchange. As such, it adheres to the CDA Release 2.0 standard and remains a CDA-based Implementation Guide (IG)."
"hl7.fhir.us.ndh","US","4.0.1","National Directory of Healthcare Providers and Services (NDH) Implementation Guide","us","Administration","Standard for the population, verification and exchange of Health and Social Care Directory information between a Validated National Directory and local directories (primarily for workflow integration).  This applies to individual demographics, organizational demographics, relationship between individuals and organizations, services provided, and electronic endpoint metadata"
"hl7.fhir.us.davinci-vbpr","US","4.0.1","Da Vinci Value-Based Performance Reporting Implementation Guide","us","Financial","This implementation guide enables value-based performance reports to be specified in a standard format and exchanged using standardized mechanisms between payers and providers to support the shift from fee-for-service to value-based care."
"fhir.hrsa.uds-plus","US","4.0.1","HRSA Uniform Data System (UDS) Patient Level Submission (PLS) (UDS+ or uds-plus) FHIR IG","us","Surveillience / Reporting","UDS+ is part of HRSA`s modernization initiatives and requires health centers to report data annually as part of the funding grants. UDS is a standard data set that provides consistent information about Federally Qualified Health Centers. It is the source of non duplicated data for the entire scope of services included in the grant or designation for the calendar year. HRSA uses UDS data to assess the impact and performance of the Health Center Program, and to promote data-driven quality improvement"
"hl7.fhir.us.resp-net","US","4.0.1","Respiratory Virus Hospitalization Surveillance Network (RESP-NET) Content Implementation Guide","us","Medication / Immunization","The Respiratory Virus Hospitalization Surveillance Network (RESP-NET) comprises three platforms that conduct population-based surveillance for laboratory-confirmed hospitalizations associated with COVID-19, Influenza, and Respiratory Syncytial Virus (RSV) among children and adults."
"hl7.fhir.us.pdmp","US","4.0.1","US Prescription Drug Monitoring Program (PDMP)","us","Medications / Immunizations","Guidance on the use of FHIR resources and search operations to allow requestors (prescribers, pharmacists, others) to obtain a patient's medication records held in one or more Prescription Drug Monitoring Programs (PDMPs).  Also describes how the information supplied by the PDMPs is contained in the other information exchanges in the larger PDMP environment."
"hl7.fhir.us.medication-rems","US","4.0.1","US Medication REMS","us","Medications / Immunizations","A Risk Evaluation and Mitigation Strategies (REMS) is a drug safety program that the U.S. FDA requires for certain medications with serious safety concerns. Complying with REMS can introduce manual work for the provider and potential delays in getting the medication to the patient. This IG provides guidance on using FHIR to automate notifications and information exchange between the provider and the REMS Administrator--to reduce burden on the provider and prevent delays in patient care."
